English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish,Hungarian,Basque,Finnish,Estonian,Czech,Slovak,Hmong,Polish,Lingala,Igbo,Yoruba,Malay,Sundanese,Northern Uzbek,Algerian Arabic,Moroccan Arabic,Sindhi,Saraiki,Jin,Min Nan,Hakka,Xiang,Mongolian,Burmese,Odia,Nepali,Malayalam,Ukrainian,Greek
fly (v.),መብረር (mäbrär),طار (ṭār),تَاشِي (tashi),طار (ṭār),طَارَ (ṭāra),طار (ṭār),𩙻 (bay),terbang,ꦩꦧꦸꦂ (mabur),ᜎᜒᜉᜇ᜔ (lipad),ಹಾರುವುದು (hāruvudu),பறத்தல் (paṟattal),ఎగరడం (egaraḍaṁ),ওড়া (ōṛa),उड़ल (uṛal),fly,voler,ઉડવું (uḍavũ),उड़ना (uṛnā),پریدن (paridan),volare,उडणे (uḍṇe),voar,лета́ть (letátʹ),volar,fliegen,اڑنا (uṛnā),اڈنا (uḍḍaṇā),飛ぶ (tobu),날다 (nalda),บิน (bin),كُوپَاأ (kupaa),飛 (fēi),飛 (fí),飛 (fēi),اوچمق (uçmak),𐲣𐲈𐲡𐲪𐲘𐲛𐲒 (repülni),hegan,lentää,lendama,letět,letieť,𖬖𖬚𖬵 (ya),latać,kopimbwa,ife,فُـواْ (fò),تربڠ (terbang),ᮠᮤᮘᮨᮁ (hiber),учмоқ (uchmoq),طار (ṭār),طار (ṭāṛ),اڏامڻ (ud̤āmaṇu),اݙݨ (ud̤aṇ),飛 (fēi),飛 (pue),飛 (fî),飛 (fēi),ᠨᠢᠰᠡᠬᠦ (nisekü),ပျံ (pyan),ଉଡ଼ିବା (uṛibā),उड्नु (uḍnu),പറക്കുക (paṟakkuka),літати (litaty),πετάω (petáo)
walk (v.),መራመድ (märamäd),مشى (masha),تَفِيَا (tafiya),مشى (masha),مَشَى (mashā),مشى (masha),𠫾 (đi),jalan,ꦭꦏꦸ (mlaku),ᜎᜃᜇ᜔ (lakad),ನಡೆಯುವುದು (naḍeyuvudu),நடத்தல் (naṭattal),నడవడం (naḍavaḍaṁ),হাঁটা (hãṭa),चलल (chalal),walk,marcher,ચાલવું (cālvũ),चलना (calnā),راه رفتن (râh raftan),camminare,चालणे (ċālṇe),andar,ходи́ть (xodítʹ),caminar,gehen,چلنا (calnā),ٹرنا (turnā),歩く (aruku),걷다 (geotda),เดิน (doen),كُتيمبيَا (kutembea),走路 (zǒulù),走 (tseu),行路 (hàahng louh),يورومك (yürümek),𐲔𐲁𐲣𐲛𐲒 (járni),ibili,kävellä,kõndima,chodit,chodiť,𖬔𖬰𖬝𖬵𖬖𖬝 (taug kev),chodzić,kotámbola,ịga ije,رِنْ (rìn),برجالن (berjalan),ᮜᮩᮙ᮪ᮕᮀ (leumpang),юрмоқ (yurmoq),مشى (mša),تمشى (tmššā),هلڻ (halaṇu),ٹُرݨ (ṭuraṇ),行 (xiáng),行 (kiâⁿ),行 (hàng),走 (zǒu),ᠠᠯᠬᠠᠬᠤ (alkhakhu),လမ်းလျှောက် (lan-shauk),ଚାଲିବା (cālibā),हिँड्नु (hĩḍnu),നടക്കുക (naṭakkuka),ходити (xodyty),περπατάω (perpatáo)
come (v.),መምጣት (mämṭat),جه (ge),زُوَا (zuwa),إجا (ija),جَاءَ (jāʾa),جاء (jā),𦤾 (đến),datang,ꦠꦼꦏ (teka),ᜇᜆᜒᜅ᜔ (dating),ಬರುವುದು (baruvudu),வருதல் (varutal),రావడం (rāvaḍaṁ),আসা (aśa),आइल (āil),come,venir,આવવું (āvavũ),आना (ānā),آمدن (âmadan),venire,येणे (yeṇe),vir,приходи́ть (prixodítʹ),venir,kommen,آنا (ānā),آؤنا (āuṇā),来る (kuru),오다 (oda),มา (ma),كُوجَا (kuja),來 (lái),來 (le),嚟 (làih),گلمك (gelmek),𐲔𐲟𐲛𐲛𐲒 (jönni),etorri,tulla,tulema,přijít,prísť,𖬪𖬵𖬦 (tuaj),przychodzić,koyâ,ịbịa,وَا (wá),داتڠ (datang),ᮓᮒᮀ (datang),келмоқ (kelmoq),جا (žā),جا (žā),اچڻ (acaṇu),آوݨ (āwaṇ),來 (lāi),來 (lâi),來 (lòi),來 (lái),ᠢᠷᠡᠬᠦ (irekü),လာ (la),ଆସିବା (āsibā),आउनु (āunu),വരുക (varuka),приходити (pryxodyty),έρχομαι (érchomai)
lie (down) (v.),መጋደም (mägadäm),نام (nām),كْوَنْتَوَا (kwantawa),تسطّح (tsaṭṭaḥ),رَقَدَ (raqada),رقد (ragad),𦣰 (nằm),baring,ꦭꦼꦏꦂ (lêkar),ᜑᜒᜄ (higa),ಮಲಗುವುದು (malaguvudu),படுத்தல் (paṭuttal),పడుకోవడం (paḍukōvaḍaṁ),শোয়া (śōẇa),लेटल (leṭal),lie,s’étendre,સુવું (suvũ),लेटना (leṭnā),دراز کشیدن (derâz kešidan),distendersi,आडवे होणे (āḍve hoṇe),deitar-se,лежа́ть (ležátʹ),echarse,liegen,لیٹنا (leṭnā),لیٹنا (lēṭṇā),横たわる (yokotawaru),눕다 (nupda),นอน (non),كُلَالَا چِينِ (kulala chini),躺 (tǎng),𬮿 (ge),瞓 (fān),ياتمق (yatmak),𐲊𐲈𐲗𐲪𐲅𐲛𐲒 (feküdni),etzan,maata,lemama,ležet,ležať,𖬌𖬞 (pw),leżeć,kolála,ịdina ala,دُبُلَِـی (dùbúlẹ̀),برباريڠ (berbaring),ᮍᮨᮓᮨᮀ (ngedeng),ётмоқ (yotmoq),تمدد (tməddəd),تمدد (tməddəd),ليٽڻ (leṭaṇu),لیٹݨ (leṭaṇ),躺 (tàng),倒 (tó),睡倒 (soi-tó),躺倒 (tǎng-tǎo),ᠬᠡᠪᠲᠡᠬᠦ (kebtekü),လှဲ (hle),ଗଡ଼ିବା (gaṛibā),पल्टिनु (palṭinu),കിടക്കുക (kiṭakkuka),лежати (ležaty),ξαπλώνω (xaplóno)
sit (v.),መቀመጥ (mäqämmäṭ),قعد (qaʿad),زَوْنَوَا (zaunawa),قعد (ʾaʿad),جَلَسَ (jalasa),قعد (gaʿad),𡎝 (ngồi),duduk,ꦭꦸꦔ꧀ꦒꦸꦃ (lungguh),ᜁᜉᜓ (upo),ಕೂರುವುದು (kūruvudu),உட்காருதல் (uṭkārutal),కూర్చోవడం (kūrcōvaḍaṁ),বসা (bośa),बैठल (baiṭhal),sit,s’asseoir,બેસવું (besvũ),बैठना (baiṭhnā),نشستن (nešastan),sedersi,बसणे (basṇe),sentar-se,сиде́ть (sidétʹ),sentarse,sitzen,بیٹھنا (baiṭhnā),بہنا (bahiṇā),座る (suwaru),앉다 (anta),นั่ง (nang),كُكَاأ (kukaa),坐 (zuò),坐 (zu),坐 (chóh),اوطورمق (oturmak),𐲪𐲘𐲛𐲒 (ülni),eseri,istua,istuma,sedět,sedieť,𖬔𖬰𖬝𖬵 (zaum),siedzieć,kofánda,ịnọdụ ala,جُـواْكُـواْ (jókòó),دودوق (duduk),ᮓᮤᮅᮊ᮪ (diuk),ўтирмоқ (oʻtirmoq),قعد (qʿəd),جلس (žləs),ويهڻ (wehaṇu),ٻہݨ (b̤ehaṇ),坐 (zuó),坐 (chē),坐 (tsó),坐 (zǒ),ᠰᠤᠤᠬᠤ (suukhu),ထိုင် (htaing),ବସିବା (basibā),बस्नु (basnu),ഇരിക്കുക (irikkuka),сидіти (sydity),κάθομαι (káthomai)
stand (v.),መቆም (mäqom),وقف (waʾaf),صَيُوَا (tsayuwa),وقف (waʾʾaf),وَقَفَ (waqafa),وقف (wagaf),𨅸 (đứng),diri,ꦲꦢꦼꦒ꧀ (adeg),ᜆᜌᜓ (tayo),ನಿಲ್ಲುವುದು (nilluvudu),நில்லுதல் (nillutal),నిలుచోవడం (nilucōvaḍaṁ),দাঁড়ানো (dãṛanō),ठाड़ होखल (ṭhāṛ hokhal),stand,se lever,ઊભવું (ūbhavũ),खड़ा होना (khaṛā honā),ایستادن (istâdan),stare in piedi,उभे राहणे (ubhe rāhṇe),pôr-se de pé,стоя́ть (stojátʹ),levantarse,stehen,کھڑا ہونا (khaṛā honā),کھڑنا (khaṛhnā),立つ (tatsu),서다 (seoda),ยืน (yuen),كُسِيمَامَا (kusimama),站 (zhàn),立 (liq),企 (kéih),آیاقده طورمق (ayakta durmak),𐲁𐲘𐲘𐲛𐲒 (állni),zutitu,seistä,seisma,stát,stáť,𖬔𖬰𖬝𖬵𖬌𖬰𖬝 (sawv ntsug),stać,kotélema,ịkwụ ọtọ,دُرُـواْ (dúró),برديري (berdiri),ᮔᮀᮒᮥᮀ (nangtung),турмоқ (turmoq),وقف (wqəf),وقف (wqəf),بيهڻ (behaṇu),کھڑوݨ (khaṛōwaṇ),站 (zán),企 (khiā),企 (khì),站 (zàn),ᠵᠣᠭᠰᠣᠬᠤ (jogsokhu),ရပ် (yat),ଠିଆହେବା (ṭhiāhebā),उभिनु (ubhinu),നിൽക്കുക (nilkkuka),стояти (stojaty),στέκομαι (stékomai)
give (v.),መስጠት (mäsṭät),ادى (adda),بَيَوَا (bayawa),عطى (ʿaṭa),أَعْطَى (ʾaʿṭā),أدى (adda),𠳒 (cho),beri,ꦮꦺꦤꦺꦃ (wènèh),ᜊᜒᜄᜌ᜔ (bigay),ಕೊಡುವುದು (koḍuvudu),கொடுத்தல் (koṭuttal),ఇవ్వడం (ivvaḍaṁ),দেওয়া (deōẇa),देअल (deal),give,donner,આપવું (āpavũ),देना (denā),دادن (dâdan),dare,देणे (deṇe),dar,дава́ть (davátʹ),dar,geben,دینا (denā),دینا (dēṇā),与える (ataeru),주다 (juda),ให้ (hai),كُوپَا (kupa),給 (gěi),撥 (peq),畀 (béi),ويرمك (vermek),𐲀𐲅𐲛𐲒 (adni),eman,antaa,andma,dát,dať,𖬪𖬰𖬦𖬔𖬝𖬵 (muab rau),dawać,kopésa,inye,فُنْ (fún),بري (beri),ᮙᮦᮛᮦ (méré),бермоқ (bermoq),عطى (ʿṭa),عطا (ʿṭā),ڏيڻ (d̤ēṇu),ݙیوݨ (d̤ēwaṇ),給 (jiěq),予 (hō͘),分 (pûn),把 (bǎ),ᠥᠭᠬᠦ (ögkü),ပေး (pe),ଦେବା (debā),दिनु (dinu),കൊടുക്കുക (koṭukkuka),давати (davaty),δίνω (díno)
say (v.),ማለት (malät),قال (qāl),چِيوَا (cewa),قال (ʾāl),قَالَ (qāla),قال (gāl),𠊛 (nói),kata,ꦲꦺꦴꦩꦺꦴꦁ (omong),ᜐᜊᜒ (sabi),ಹೇಳುವುದು (hēḷuvudu),சொல்லுதல் (collutal),చెప్పడం (ceppaḍaṁ),বলা (bola),कहल (kahal),say,dire,બોલવું (bolvũ),कहना (kahnā),گفتن (goftan),dire,म्हणणे (mhaṇṇe),dizer,говори́ть (govorítʹ),decir,sagen,کہنا (kahnā),آکھنا (ākhaṇā),言う (iu),말하다 (malhada),พูด (phut),كُسيمَا (kusema),說 (shuō),講 (kaon),講 (góng),ديمك (demek),𐲚𐲝𐲛𐲅𐲀𐲛𐲒 (mondani),esan,sanoa,ütlema,mluvit,povedať,𖬇𖬰𖬦𖬵 (hais),mówić,koloba,ikwu,سُـو (sọ),كات (kata),ᮍᮧᮙᮧᮀ (ngomong),айтмоқ (aytmoq),قال (qāl),قال (qāl),چوڻ (cawaṇu),آکھݨ (ākhaṇ),說 (xuěq),講 (kóng),講 (kóng),講 (jiǎng),ᠬᠡᠯᠡᠬᠦ (kelekü),ပြော (pyaw),କହିବା (kahibā),भन्नु (bhannu),പറയുക (paṟayuka),казати (kazaty),λέω (léo)
sun,ፀሐይ (ṣähay),شمس (shams),رَنَا (rana),شمس (shams),شَمْس (shams),شمس (shams),𡗶 (mặt trời),matahari,ꦱꦿꦺꦔꦺꦔ꺺 (srengéngé),ᜀᜇᜏ᜔ (araw),ಸೂರ್ಯ (sūrya),சூரியன் (cūriyaṉ),సూర్యుడు (sūryuḍu),সূর্য (śurjo),सुरूज (sūruj),sun,soleil,સૂર્ય (sūrya),सूरज (sūraj),خورشید (xoršid),sole,सूर्य (sūrya),sol,со́лнце (sólnce),sol,Sonne,سورج (sūraj),سُورج (sūraj),日 (hi),해 (hae),ตะวัน (tawan),جُوَا (jua),太陽 (tàiyáng),太陽 (tha yaon),太陽 (tāai yèuhng),گونش (güneş),𐲛𐲀𐲡 (nap),eguzki,aurinko,päike,slunce,slnko,𖬌𖬰𖬝 (hnub),słońce,mói,anyanwụ,عُواْرُنْ (oòrùn),متهاري (matahari),ᮕᮔᮧᮔ᮪ᮕᮧᮆ (panonpoé),қуёш (quyosh),شمس (šəms),شمس (šəmš),سج (siju),سجھ (sijh),日頭 (rěq tōu),日頭 (ji̍t-thâu),日頭 (ngi̍t-thèu),热头 (nié-tóu),ᠨᠠᠷᠠ (nara),နေ (ne),ସୂର୍ଯ୍ୟ (sūryya),घाम (ghām),സൂര്യൻ (sūryaṉ),сонце (sonce),ήλιος (ílios)
moon,ጨረቃ (č̣äräqa),قمر (qamar),وَتَا (wata),قمر (ʾamar),قَمَر (qamar),قمر (gamar),𩈘𣎦 (mặt trăng),bulan,ꦫꦼꦩ꧀ꦧꦸꦭꦤ꧀ (rembulan),ᜊᜓᜏᜈ᜔ (buwan),ಚಂದ್ರ (candra),நிலா (nilā),చంద్రుడు (candruḍu),চাঁদ (cãd),चंदा (chandā),moon,lune,ચંદ્ર (candra),चाँद (chānd),ماه (mâh),luna,चंद्र (candra),lua,луна́ (luná),luna,Mond,چاند (cānd),چن (cann),月 (tsuki),달 (dal),เดือน (duean),مويزِ (mwezi),月亮 (yuèliang),月亮 (yuq liaon),月亮 (yuht lèuhng),آى (ay),𐲏𐲝𐲘𐲅 (hold),ilargi,kuu,kuu,měsíc,mesiac,𖬜𖬖 (hli),księżyc,sánzá,ọnwa,عُواْشُپَا (òṣùpá),بولن (bulan),ᮘᮥᮜᮔ᮪ (bulan),ой (oy),قمر (qmər),قمر (qməṛ),چنڊ (canḍu),چن (cann),月明 (yuěq mīng),月娘 (goe̍h-niû),月光 (ngie̍t-kông),月亮 (yö-liáng),ᠰᠠᠷ᠎ᠠ (sara),လ (la),ଜହ୍ନ (jahna),जून (jūn),ചന്ദ്രൻ (candraṉ),місяць (misjac’),φεγγάρι (fengári)
star,ኮከብ (kokäb),نجمة (nigma),تَوْرَرُو (tauraro),نجمة (nijme),نَجْم (najm),نجمة (najma),𣇟 (sao),bintang,ꦭꦶꦤ꧀ꦠꦁ (lintang),ᜊᜒᜆᜓᜁᜈ᜔ (bituin),ನಕ್ಷತ್ರ (nakṣatra),நட்சத்திரம் (naṭcattiram),నక్షత్రం (nakṣatraṁ),তারা (tara),तारा (tārā),star,étoile,તારો (tāro),तारा (tārā),ستاره (setâre),stella,तारा (tārā),estrela,звезда́ (zvezdá),estrella,Stern,ستارہ (sitārā),تارا (tārā),星 (hoshi),별 (byeol),ดาว (dao),ڽُوتَا (nyota),星星 (xīngxing),星星 (shín shín),星 (sīng),يلدز (yıldız),𐲄𐲒𐲘𐲘𐲀𐲍 (csillag),izar,tähti,täht,hvězda,hviezda,𖬌𖬰𖬝𖬌𖬰𖬒 (hnub qub),gwiazda,monzɔ́tɔ,kpakpando,إِرَاوُـو (ìràwọ̀),بينتڠ (bintang),ᮘᮦᮔ᮪ᮒᮀ (béntang),юлдуз (yulduz),نجمة (nəžma),نجمة (nəžma),تارو (tāro),تارا (tārā),星星 (xīng xīng),星仔 (chhiⁿ-á),星仔 (sên-é),星子 (xīn-tsǐ),ᠣᠳᠤ (odu),ကြယ် (che),ତାରା (tārā),तारा (tārā),നക്ഷത്രം (nakṣatraṁ),зірка (zirka),αστέρι (astéri)
water,ውሃ (wəha),مية (mayya),رُوَا (ruwa),مي (ṃayy),مَاء (māʾ),موية (moya),渃 (nước),air,ꦧꦚꦸ (banyu),ᜆᜓᜊᜒᜄ᜔ (tubig),ನೀರು (nīru),நீர் (nīr),నీరు (nīru),পানি (pāni),पानी (pānī),water,eau,પાણી (pāṇī),पानी (pānī),آب (âb),acqua,पाणी (pāṇī),água,вода́ (vodá),agua,Wasser,پانی (pānī),پانی (pāṇī),水 (mizu),물 (mul),น้ำ (nam),مَاجِ (maji),水 (shuǐ),水 (sy),水 (seúi),صو (su),𐲬𐲒𐲮 (víz),ur,vesi,vesi,voda,voda,𖬖𖬰𖬚 (dej),woda,mái,mmiri,عُواْمِی (omi),اءير (air),ᮎᮄ (cai),сув (suv),ما (mā),ما (mā),پاڻي (pāṇī),پاݨی (pāṇī),水 (suì),水 (chúi),水 (súi),水 (suǐ),ᠤᠰᠤ (usu),ရေ (ye),ପାଣି (pāṇi),पानी (pānī),വെള്ളം (veḷḷaṁ),вода (voda),νερό (neró)
rain,ዝናብ (zənab),مطر (maṭar),رُوَن سَمَا (ruwan sama),شتا (shita),مَطَر (maṭar),مطر (maṭar),𩄛 (mưa),hujan,ꦲꦸꦢꦤ꧀ (udan),ᜓᜎᜈ᜔ (ulan),ಮಳೆ (maḷe),மழை (maḻai),వర్షం (varṣaṁ),বৃষ্টি (briśṭi),बरखा (barkhā),rain,pluie,વરસાદ (varsād),बारिश (bāriś),باران (bârân),pioggia,पाऊस (pāūs),chuva,дождь (doždʹ),lluvia,Regen,بارش (barish),میہ (mī̃h),雨 (ame),비 (bi),ฝน (fon),مْڤُؤَا (mvua),雨 (yǔ),雨 (yu),雨 (yúh),ياغمور (yağmur),𐲈𐲤𐲠 (eső),euri,sade,vihm,déšť,dážď,𖬖𖬲𖬚 (nag),deszcz,mbúla,mmiri ozuzo,عُواْجُـواْ (òjò),هوجن (hujan),ᮠᮥᮏᮔ᮪ (hujan),ёмғир (yomgʻir),شتا (štā),شتا (štā),مِينهن (mī̃hũ),مینہہ (mīnh),雨 (yù),雨 (hō͘),雨 (yí),雨 (yǔ),ᠪᠣᠷᠤᠭ᠎ᠠ (borugha),မိုး (mo),ବର୍ଷା (barṣā),झरी (jharī),മഴ (maḻa),дощ (došč),βροχή (vrochí)
stone,ድንጋይ (dəngay),حجر (ḥagar),دُوصِي (dutse),حجر (ḥajar),حَجَر (ḥajar),حجر (ḥajar),𥒥 (đá),batu,ꦮꦠꦸ (watu),ᜊᜆᜓ (bato),ಕಲ್ಲು (kallu),கல் (kal),రాయి (rāyi),পাথর (pathor),पाथर (pāthar),stone,pierre,પથ્થર (paththar),पत्थर (patthar),سنگ (sang),sasso,दगड (dagaḍ),pedra,ка́мень (kámenʹ),piedra,Stein,پتھر (patthar),وَٹّا (vaṭṭā),石 (ishi),돌 (dol),หิน (hin),جِيوِي (jiwe),石頭 (shítou),石頭 (zaq deu),石 (sèhk),طاش (taş),𐲗𐲠 (kő),harri,kivi,kivi,kámen,kameň,𖬪𖬰𖬤𖬵-𖬖𖬰𖬚 (pob-zeb),kamień,libángá,mkpume,عُواْكُتَا (òkúta),باتو (batu),ᮘᮒᮥ (batu),тош (tosh),حجرة (ḥəžra),حجرة (ḥžṛa),پٿر (patharu),وٹّا (waṭṭā),石頭 (xiêq tōu),石頭 (chio̍h-thâu),石牯 (sa̍k-kú),石牯子 (sā-gǔ-tsǐ),ᠴᠢᠯᠠᠭᠤ (chilaghu),ကျောက် (chauk),ପଥର (pathara),ढुङ्गा (ḍhuṅgā),കല്ല് (kallŭ),камінь (kamin’),πέτρα (pétra)
sand,አሸዋ (ašäwa),رملة (ramla),رَيْرَيِي (rairayi),رمل (raml),رَمْل (raml),رملة (ramla),𣋁 (cát),pasir,ꦮꦼꦝꦶ (wedhi),ᜊᜓᜑᜅᜒᜈ᜔ (buhangin),ಮರಳು (maraḷu),மணல் (maṇal),ఇసుక (isuka),বালি (bali),बालू (bālū),sand,sable,રેતી (retī),रेत (ret),شن (šen),sabbia,वाळू (vāḷū),areia,песо́к (pesók),arena,Sand,ریت (ret),ریت (ret),砂 (suna),모래 (morae),ทราย (sai),مچَانقَا (mchanga),沙 (shā),沙子 (só tsy),沙 (sā),قوم (kum),𐲏𐲝𐲚𐲝𐲖 (homok),harea,hiekka,liiv,písek,piesok,𖬪𖬰𖬦𖬵𖬖𖬰𖬚 (hmoov zeb),piasek,zɛ́lɔ,ájá,إِیَنْرِنْ (iyanrìn),ڤاسير (pasir),ᮊᮩᮞᮤᮊ᮪ (keusik),қум (qum),رمل (rməl),رمل (ṛməl),واري (wārī),ریت (ret),沙子 (shāzi),沙 (soa),沙 (sâ),沙 (sā),ᠡᠯᠡᠰᠦ (elesü),သဲ (the),ବାଲି (bāli),बालुवा (bāluwā),മണൽ (maṇal),пісок (pisok),άμμος (ámmos)
earth/soil,መሬት (märet),ارض (arḍ),قَسَا (ƙasa),أرض (arḍ),أَرْض (arḍ),واطة (wāṭa),𡐙 (đất),bumi,ꦭꦼꦩꦃ (lemah),ᜎᜓᜉ (lupa),ನೆಲ (nela),பூமி (pūmi),మన్ను (mannu),মাটি (maṭi),माटी (māṭī),earth,terre,ધરતી (dhartī),धरती (dhartī),زمین (zamin),terra,पृथ्वी (pruthvī),terra,земля́ (zemljá),tierra,Erde,زمین (zamīn),مِٹّی (miṭṭī),土 (tsuchi),흙 (heuk),ดิน (din),اُدُونقُو (udongo),土 (tǔ),爛泥 (na gni),泥 (nàih),ير (yer),𐲊𐲟𐲘𐲅 (föld),lur,maa,maa,země,zem,𖬖𖬚 (av),ziemia,mabelé,ala,إِلَِـی (ilẹ̀),تانه (tanah),ᮒᮔᮩᮂ (taneuh),ер (yer),تراب (trāb),تراب (tṛāb),مٽي (miṭī),مٹی (miṭṭī),土 (tù),土 (thô͘),泥 (lài),泥巴 (lí-pā),ᠭᠠᠵᠠᠷ (gajar),မြေ (mye),ମାଟି (māṭi),माटो (māṭo),മണ്ണ് (maṇṇŭ),земля (zemlja),χώμα (chóma)
cloud,ደመና (dämäna),سحابة (saḥāba),ݢَجِمَرِي (gajimare),غيمة (ghēme),سَحَابَة (saḥābah),غيم (ghēm),𩄲 (mây),awan,ꦩꦺꦒ (méga),ᜓᜎᜉ᜔ (ulap),ಮೋಡ (mōḍa),மேகம் (mēkam),మబ్బు (mabbu),মেঘ (megh),बदरी (badrī),cloud,nuage,વાદળ (vādaḷ),बादल (bādal),ابر (abr),nuvola,ढग (ḍhag),nuvem,о́блако (óblako),nube,Wolke,بادل (bādal),بَدَّلؕ (baddaḷ),雲 (kumo),구름 (gureum),เมฆ (mek),وِينقُ (wingu),雲 (yún),雲 (yun),雲 (wàhn),بولوط (bulut),𐲊𐲈𐲘𐲏𐲠 (felhő),hodei,pilvi,pilv,mrak,oblak,𖬪𖬰𖬦 (huab),chmura,lipata,urukpuru,إِكُوكُو (ìkùukùu),اون (awan),ᮙᮦᮌ (méga),булут (bulut),سحابة (sḥāba),سحابة (sḥāba),ڪڪر (kakaru),بدّل (baddal),雲 (yūng),雲 (hûn),雲 (yùn),雲 (yún),ᠡᠭᠦᠯᠡ (egüle),တိမ် (tein),ମେଘ (megha),बादल (bādal),മേഘം (mēghaṁ),хмара (xmara),σύννεφο (sýnnefo)
smoke,ጢስ (ṭis),دخان (dukhān),هَيَقِي (hayaƙi),دخان (dukhkhān),دُخَان (dukhān),دخان (dukhkhān),𡌦 (khói),asap,ꦲꦱꦥ꧀ (asap),ᜓᜐᜓᜃ᜔ (usok),ಹೊಗೆ (hoge),புகை (pukai),పొగ (poga),ধোঁয়া (dhō̃ẇa),धुआँ (dhuā̃),smoke,fumée,ધુમાડો (dhumāḍo),धुआँ (dhuā̃),دود (dud),fumo,धूर (dhūr),fumo,дым (dym),humo,Rauch,دھواں (dhūā̃),دھُواں (dhū̃ā̃),煙 (kemuri),연기 (yeon-gi),ควัน (khwan),مُوشِ (moshi),煙 (yān),煙 (í),煙 (yīn),دومان (duman),𐲊𐲪𐲤𐲦 (füst),ke,savu,suits,kouř,dym,𖬪𖬤𖬵-𖬖𖬚 (ncho pa),dym,mólinga,anwụrụ ọkụ,عَیفِنْ (èéfín),اسڤ (asap),ᮠᮞᮩᮕ᮪ (haseup),тутун (tutun),دخان (dḫān),دخان (dḫān),دونهون (dū̃hõ),دُھوں (dhū̃),煙 (yān),薰 (hun),煙 (yên),煙 (yān),ᠤᠲᠠᠭ᠎ᠠ (utagha),မီးခိုး (mi-go),ଧୂଆଁ (dhūā̃),धुवाँ (dhuwā̃),പുക (puka),дим (dym),καπνός (kapnós)
fire,እሳት (əsat),نار (nār),وُتَا (wuta),نار (nār),نَار (nār),نار (nār),𤈗 (lửa),api,ꦒꦼꦤꦶ (geni),ᜀᜉᜓᜌ᜔ (apoy),ಬೆಂಕಿ (beṅki),தீ (tī),మంట (maṇṭa),আগুন (agun),आगी (āgī),fire,feu,આગ (āga),आग (āg),آتش (âtaš),fuoco,आग (āg),fogo,ого́нь (ogónʹ),fuego,Feuer,آگ (āg),اگ (agga),火 (hi),불 (bul),ไฟ (fai),مُوتُو (moto),火 (huǒ),火 (hu),火 (fó),آتش (ateş),𐲦𐲫𐲮 (tűz),su,tuli,tuli,oheň,oheň,𖬔𖬰𖬝𖬵 (taws),ogień,mɔ́tɔ,ọkụ,إِنَا (iná),اڤي (api),ᮞᮩᮔᮩ (seuneu),олов (olov),نار (nār),عافية (ʿāfya),باهہ (bāha),بھاء (bhā),火 (huò),火 (hóe),火 (fó),火 (hǒ),ᠭᠠᠯ (gal),မီး (mi),ନିଆଁ (niā̃),आगो (āgo),തീ (tī),вогонь (vohon’),φωτιά (fotiá)
ash,አመድ (amäd),رماد (rumād),تُوكَا (toka),رماد (rmād),رَمَاد (ramād),رماد (ramād),𥔦 (tro),abu,ꦲꦮꦸ (awu),ᜀᜊᜓ (abo),ಬೂದಿ (būdi),சாம்பல் (cāmpal),బూడిద (būḍida),ছাই (chai),राख (rākh),ash,cendre,રાખ (rākh),राख (rākh),خاکستر (xâkestar),cenere,राख (rākh),cinzas,зола́ (zolá),cenizas,Asche,راکھ (rākh),سواہ (suāha),灰 (hai),재 (jae),เถ้า (thao),جِيڤُ (jivu),灰 (huī),灰 (húe),灰 (fūi),كول (kül),𐲏𐲀𐲚𐲨 (hamu),hauts,tuhka,tuhk,popel,popol,𖬔𖬰𖬦𖬵 (tshauv),popiół,putulú,ntụ,عَیرُ (eérú),ابو (abu),ᮜᮨᮘᮥ (lebu),кул (kul),رماد (rmād),رماد (ṛmād),رک (rakha),سواہ (swāh),灰 (huēi),灰 (hoe),火灰 (fó-fî),灰 (huī),ᠦᠨᠡᠰᠦ (ünesü),ပြာ (pya),ପାଉଁଶ (pāũśa),खरानी (kharānī),ചാരം (cāraṁ),попіл (popil),στάχτη (stáchti)
